,Hu0,a,error,skew,median,duration,r_value,p_value,swp
1657,0.756,0.1,5.044300234,0.3283425005,6.016666667,7.423057644,0.5056192148,2.77E-27,27.09120718
1658,0.756,0.104,5.127471945,0.3498519711,5.883333333,7.43799081,0.5105217349,7.24E-28,27.04611529
1659,0.756,0.108,5.034636809,0.2723305784,5.783333333,7.451461988,0.5085273161,1.25E-27,27.06769006
1660,0.756,0.112,5.036288867,0.1735952275,5.666666667,7.462155388,0.5747251957,1.89E-36,27.0137218
1661,0.756,0.116,3.277840494,0.05859476826,5.6,7.478780284,0.5997333381,2.47E-40,27.06896408
1662,0.756,0.12,3.162392553,0.08977249107,5.533333333,7.486883876,0.6098940636,5.18E-42,27.07986633
1663,0.756,0.124,3.483471225,0.08387386235,5.5,7.505096074,0.6525107108,9.22E-50,27.05294486
1664,0.756,0.128,3.482177499,0.0160800552,5.416666667,7.513951546,0.6436800404,4.70E-48,27.04087302
1665,0.756,0.132,2.254589211,-0.08289933613,5.366666667,7.526482874,0.6956351377,5.43E-59,27.0605472
1666,0.756,0.136,3.510310214,0.1288372796,5.3,7.523893066,0.6388918043,3.75E-47,27.0195071
1667,0.756,0.14,3.969742399,-0.04956946706,5.216666667,7.55304929,0.6950439013,7.46E-59,27.05079365
1668,0.756,0.144,3.948758781,-0.03347351783,5.183333333,7.560484545,0.6965593767,3.31E-59,27.04789056
1669,0.756,0.148,3.897004903,-0.01614794189,5.166666667,7.574937343,0.719659567,7.00E-65,27.03984962
1670,0.756,0.152,4.768135341,-0.133739904,5.116666667,7.591311612,0.7303517104,1.05E-67,27.09434002
1671,0.756,0.156,4.757420019,-0.1663635196,5.066666667,7.602589808,0.7242955579,4.33E-66,27.05133668
1672,0.756,0.16,3.66483576,-0.1973970535,5.066666667,7.611027569,0.7676714864,9.93E-79,27.07170008
1673,0.756,0.164,3.611428218,-0.1905652267,5.016666667,7.624895572,0.7614074298,9.73E-77,27.0339599
1674,0.756,0.168,3.62351317,-0.1458060133,4.966666667,7.631829574,0.7643013864,1.19E-77,27.07479114
1675,0.756,0.172,2.779192377,-0.05949044102,4.95,7.639431913,0.7737517081,1.01E-80,27.05277778
1676,0.756,0.176,3.612756219,-0.09849319232,4.9,7.652380952,0.7755209409,2.58E-81,27.05808271
1677,0.756,0.18,3.579389095,-0.2146209905,4.883333333,7.673767753,0.7990756869,9.51E-90,27.04935255
1678,0.756,0.184,3.626710876,-0.1617328419,4.85,7.682706767,0.8007369729,2.19E-90,27.07002924
1679,0.756,0.188,3.656561275,-0.2073261546,4.816666667,7.692564745,0.8076747603,4.11E-93,27.05298663
1680,0.756,0.192,3.626770641,-0.2708836671,4.8,7.70802005,0.8112427224,1.47E-94,27.063875
